赛事,样本量,理论概率_胜,理论概率_平,理论概率_负,真实频率_胜,真实频率_平,真实频率_负,卡方统计量,P值,当前期数id
世亚预,31.0,0.467,0.252,0.281,0.516,0.258,0.226,0.5,0.779,25190
世俱杯,63.0,0.436,0.223,0.341,0.476,0.254,0.27,1.454,0.483,25190
世南美预,22.0,0.473,0.275,0.252,0.545,0.273,0.182,0.676,0.713,25190
世欧预,127.0,0.474,0.188,0.337,0.52,0.165,0.315,1.095,0.578,25190
亚冠,34.0,0.483,0.217,0.3,0.647,0.088,0.265,4.644,0.098,25190
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25190
天皇杯,2.0,0.427,0.267,0.306,0.0,1.0,0.0,5.482,0.065,25190
德乙,65.0,0.432,0.253,0.315,0.462,0.169,0.369,2.562,0.278,25190
德国杯,20.0,0.414,0.225,0.36,0.4,0.15,0.45,0.961,0.618,25190
德甲,274.0,0.447,0.237,0.316,0.391,0.234,0.376,5.088,0.079,25190
德超杯,1.0,0.187,0.202,0.612,0.0,0.0,1.0,0.635,0.728,25190
意大利杯,14.0,0.559,0.224,0.217,0.571,0.214,0.214,0.011,0.995,25190
意甲,231.0,0.407,0.268,0.325,0.411,0.29,0.299,0.912,0.634,25190
意超杯,2.0,0.434,0.291,0.276,1.0,0.0,0.0,2.612,0.271,25190
挪超,71.0,0.453,0.233,0.314,0.479,0.225,0.296,0.202,0.904,25190
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25190
欧冠,211.0,0.469,0.227,0.304,0.479,0.204,0.318,0.667,0.716,25190
欧协联,87.0,0.487,0.235,0.278,0.437,0.276,0.287,1.104,0.576,25190
欧国联,23.0,0.442,0.271,0.287,0.391,0.304,0.304,0.257,0.879,25190
欧洲超级杯,1.0,0.677,0.189,0.134,0.0,1.0,0.0,4.284,0.117,25190
欧联,184.0,0.459,0.243,0.298,0.505,0.196,0.299,2.541,0.281,25190
法乙,119.0,0.423,0.28,0.297,0.387,0.286,0.328,0.747,0.688,25190
法国杯,6.0,0.489,0.241,0.271,0.667,0.333,0.0,2.228,0.328,25190
法甲,123.0,0.445,0.242,0.313,0.455,0.22,0.325,0.345,0.841,25190
瑞典超,64.0,0.429,0.245,0.326,0.406,0.266,0.328,0.192,0.908,25190
社区盾杯,1.0,0.199,0.228,0.574,0.0,1.0,0.0,3.395,0.183,25190
美职,43.0,0.463,0.249,0.288,0.372,0.326,0.302,1.82,0.403,25190
芬超,27.0,0.433,0.236,0.332,0.407,0.333,0.259,1.561,0.458,25190
英冠,116.0,0.417,0.276,0.308,0.491,0.216,0.293,3.164,0.206,25190
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25190
英联杯,16.0,0.438,0.242,0.32,0.625,0.125,0.25,2.439,0.295,25190
英超,321.0,0.433,0.24,0.327,0.417,0.231,0.352,0.943,0.624,25190
荷乙,62.0,0.461,0.232,0.307,0.565,0.097,0.339,6.545,0.038,25190
荷兰杯,7.0,0.473,0.177,0.351,0.286,0.143,0.571,1.534,0.464,25190
荷甲,41.0,0.482,0.229,0.289,0.439,0.268,0.293,0.426,0.808,25190
葡超,56.0,0.48,0.256,0.264,0.429,0.286,0.286,0.595,0.743,25190
西甲,238.0,0.443,0.254,0.303,0.462,0.269,0.269,1.34,0.512,25190
解放者杯,18.0,0.484,0.262,0.255,0.5,0.167,0.333,1.067,0.587,25190
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25190
金杯赛,20.0,0.525,0.21,0.265,0.45,0.35,0.2,2.42,0.298,25190
J2联赛,4.0,0.46,0.266,0.274,0.25,0.25,0.5,1.133,0.568,25191
J联赛,11.0,0.354,0.284,0.362,0.455,0.091,0.455,2.023,0.364,25191
世亚预,31.0,0.467,0.252,0.281,0.516,0.258,0.226,0.5,0.779,25191
世俱杯,63.0,0.436,0.223,0.341,0.476,0.254,0.27,1.454,0.483,25191
世南美预,22.0,0.473,0.275,0.252,0.545,0.273,0.182,0.676,0.713,25191
世欧预,127.0,0.474,0.188,0.337,0.52,0.165,0.315,1.095,0.578,25191
亚冠,34.0,0.483,0.217,0.3,0.647,0.088,0.265,4.644,0.098,25191
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25191
天皇杯,2.0,0.427,0.267,0.306,0.0,1.0,0.0,5.482,0.065,25191
德乙,65.0,0.432,0.253,0.315,0.462,0.169,0.369,2.562,0.278,25191
德国杯,20.0,0.414,0.225,0.36,0.4,0.15,0.45,0.961,0.618,25191
德甲,278.0,0.446,0.237,0.316,0.385,0.234,0.381,6.106,0.047,25191
德超杯,1.0,0.187,0.202,0.612,0.0,0.0,1.0,0.635,0.728,25191
意大利杯,14.0,0.559,0.224,0.217,0.571,0.214,0.214,0.011,0.995,25191
意甲,233.0,0.409,0.268,0.323,0.412,0.292,0.296,1.043,0.594,25191
意超杯,2.0,0.434,0.291,0.276,1.0,0.0,0.0,2.612,0.271,25191
挪超,71.0,0.453,0.233,0.314,0.479,0.225,0.296,0.202,0.904,25191
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25191
欧冠,211.0,0.469,0.227,0.304,0.479,0.204,0.318,0.667,0.716,25191
欧协联,87.0,0.487,0.235,0.278,0.437,0.276,0.287,1.104,0.576,25191
欧国联,23.0,0.442,0.271,0.287,0.391,0.304,0.304,0.257,0.879,25191
欧洲超级杯,1.0,0.677,0.189,0.134,0.0,1.0,0.0,4.284,0.117,25191
欧联,170.0,0.457,0.243,0.299,0.512,0.182,0.306,3.714,0.156,25191
法乙,119.0,0.423,0.28,0.297,0.387,0.286,0.328,0.747,0.688,25191
法国杯,6.0,0.489,0.241,0.271,0.667,0.333,0.0,2.228,0.328,25191
法甲,123.0,0.445,0.242,0.313,0.455,0.22,0.325,0.345,0.841,25191
瑞典超,64.0,0.429,0.245,0.326,0.406,0.266,0.328,0.192,0.908,25191
社区盾杯,1.0,0.199,0.228,0.574,0.0,1.0,0.0,3.395,0.183,25191
美职,43.0,0.463,0.249,0.288,0.372,0.326,0.302,1.82,0.403,25191
芬超,27.0,0.433,0.236,0.332,0.407,0.333,0.259,1.561,0.458,25191
英冠,116.0,0.417,0.276,0.308,0.491,0.216,0.293,3.164,0.206,25191
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25191
英联杯,16.0,0.438,0.242,0.32,0.625,0.125,0.25,2.439,0.295,25191
英超,327.0,0.433,0.24,0.327,0.416,0.229,0.355,1.14,0.565,25191
荷乙,62.0,0.461,0.232,0.307,0.565,0.097,0.339,6.545,0.038,25191
荷兰杯,7.0,0.473,0.177,0.351,0.286,0.143,0.571,1.534,0.464,25191
荷甲,41.0,0.482,0.229,0.289,0.439,0.268,0.293,0.426,0.808,25191
葡超,56.0,0.48,0.256,0.264,0.429,0.286,0.286,0.595,0.743,25191
西甲,240.0,0.444,0.253,0.303,0.462,0.271,0.267,1.507,0.471,25191
解放者杯,18.0,0.484,0.262,0.255,0.5,0.167,0.333,1.067,0.587,25191
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25191
金杯赛,20.0,0.525,0.21,0.265,0.45,0.35,0.2,2.42,0.298,25191
J2联赛,4.0,0.46,0.266,0.274,0.25,0.25,0.5,1.133,0.568,25192
J联赛,11.0,0.354,0.284,0.362,0.455,0.091,0.455,2.023,0.364,25192
世亚预,31.0,0.467,0.252,0.281,0.516,0.258,0.226,0.5,0.779,25192
世俱杯,63.0,0.436,0.223,0.341,0.476,0.254,0.27,1.454,0.483,25192
世南美预,22.0,0.473,0.275,0.252,0.545,0.273,0.182,0.676,0.713,25192
世欧预,127.0,0.474,0.188,0.337,0.52,0.165,0.315,1.095,0.578,25192
亚冠,34.0,0.483,0.217,0.3,0.647,0.088,0.265,4.644,0.098,25192
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25192
天皇杯,2.0,0.427,0.267,0.306,0.0,1.0,0.0,5.482,0.065,25192
德乙,63.0,0.426,0.255,0.32,0.46,0.175,0.365,2.163,0.339,25192
德国杯,20.0,0.414,0.225,0.36,0.4,0.15,0.45,0.961,0.618,25192
德甲,279.0,0.445,0.237,0.318,0.38,0.237,0.384,6.479,0.039,25192
德超杯,1.0,0.187,0.202,0.612,0.0,0.0,1.0,0.635,0.728,25192
意大利杯,14.0,0.559,0.224,0.217,0.571,0.214,0.214,0.011,0.995,25192
意甲,235.0,0.408,0.268,0.324,0.413,0.289,0.298,0.896,0.639,25192
意超杯,2.0,0.434,0.291,0.276,1.0,0.0,0.0,2.612,0.271,25192
挪超,71.0,0.453,0.233,0.314,0.479,0.225,0.296,0.202,0.904,25192
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25192
欧冠,211.0,0.469,0.227,0.304,0.479,0.204,0.318,0.667,0.716,25192
欧协联,87.0,0.487,0.235,0.278,0.437,0.276,0.287,1.104,0.576,25192
欧国联,23.0,0.442,0.271,0.287,0.391,0.304,0.304,0.257,0.879,25192
欧洲超级杯,1.0,0.677,0.189,0.134,0.0,1.0,0.0,4.284,0.117,25192
欧联,170.0,0.457,0.243,0.299,0.512,0.182,0.306,3.714,0.156,25192
法乙,115.0,0.422,0.28,0.298,0.383,0.287,0.33,0.834,0.659,25192
法国杯,10.0,0.486,0.23,0.284,0.6,0.2,0.2,0.554,0.758,25192
法甲,122.0,0.443,0.242,0.314,0.451,0.221,0.328,0.308,0.857,25192
瑞典超,64.0,0.429,0.245,0.326,0.406,0.266,0.328,0.192,0.908,25192
社区盾杯,1.0,0.199,0.228,0.574,0.0,1.0,0.0,3.395,0.183,25192
美职,43.0,0.463,0.249,0.288,0.372,0.326,0.302,1.82,0.403,25192
芬超,27.0,0.433,0.236,0.332,0.407,0.333,0.259,1.561,0.458,25192
英冠,115.0,0.416,0.276,0.308,0.487,0.217,0.296,2.864,0.239,25192
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25192
英联杯,16.0,0.438,0.242,0.32,0.625,0.125,0.25,2.439,0.295,25192
英超,328.0,0.433,0.24,0.327,0.418,0.229,0.354,1.077,0.584,25192
荷乙,60.0,0.46,0.232,0.308,0.583,0.083,0.333,7.803,0.02,25192
荷兰杯,7.0,0.473,0.177,0.351,0.286,0.143,0.571,1.534,0.464,25192
荷甲,40.0,0.481,0.228,0.291,0.45,0.275,0.275,0.498,0.78,25192
葡超,56.0,0.48,0.256,0.264,0.429,0.286,0.286,0.595,0.743,25192
西甲,243.0,0.443,0.253,0.304,0.461,0.267,0.272,1.2,0.549,25192
解放者杯,18.0,0.484,0.262,0.255,0.5,0.167,0.333,1.067,0.587,25192
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25192
金杯赛,20.0,0.525,0.21,0.265,0.45,0.35,0.2,2.42,0.298,25192
J2联赛,4.0,0.46,0.266,0.274,0.25,0.25,0.5,1.133,0.568,25193
J联赛,11.0,0.354,0.284,0.362,0.455,0.091,0.455,2.023,0.364,25193
世亚预,31.0,0.467,0.252,0.281,0.516,0.258,0.226,0.5,0.779,25193
世俱杯,63.0,0.436,0.223,0.341,0.476,0.254,0.27,1.454,0.483,25193
世南美预,22.0,0.473,0.275,0.252,0.545,0.273,0.182,0.676,0.713,25193
世欧预,127.0,0.474,0.188,0.337,0.52,0.165,0.315,1.095,0.578,25193
亚冠,38.0,0.473,0.217,0.31,0.632,0.079,0.289,5.386,0.068,25193
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25193
天皇杯,2.0,0.427,0.267,0.306,0.0,1.0,0.0,5.482,0.065,25193
德乙,63.0,0.426,0.255,0.32,0.46,0.175,0.365,2.163,0.339,25193
德国杯,20.0,0.414,0.225,0.36,0.4,0.15,0.45,0.961,0.618,25193
德甲,276.0,0.448,0.237,0.315,0.38,0.239,0.38,6.506,0.039,25193
德超杯,1.0,0.187,0.202,0.612,0.0,0.0,1.0,0.635,0.728,25193
意大利杯,14.0,0.559,0.224,0.217,0.571,0.214,0.214,0.011,0.995,25193
意甲,233.0,0.408,0.268,0.324,0.416,0.288,0.296,0.907,0.635,25193
意超杯,2.0,0.434,0.291,0.276,1.0,0.0,0.0,2.612,0.271,25193
挪超,71.0,0.453,0.233,0.314,0.479,0.225,0.296,0.202,0.904,25193
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25193
欧冠,211.0,0.469,0.227,0.304,0.479,0.204,0.318,0.667,0.716,25193
欧协联,87.0,0.487,0.235,0.278,0.437,0.276,0.287,1.104,0.576,25193
欧国联,23.0,0.442,0.271,0.287,0.391,0.304,0.304,0.257,0.879,25193
欧洲超级杯,1.0,0.677,0.189,0.134,0.0,1.0,0.0,4.284,0.117,25193
欧联,170.0,0.457,0.243,0.299,0.512,0.182,0.306,3.714,0.156,25193
法乙,115.0,0.422,0.28,0.298,0.383,0.287,0.33,0.834,0.659,25193
法国杯,10.0,0.486,0.23,0.284,0.6,0.2,0.2,0.554,0.758,25193
法甲,120.0,0.444,0.242,0.314,0.458,0.208,0.333,0.753,0.686,25193
瑞典超,64.0,0.429,0.245,0.326,0.406,0.266,0.328,0.192,0.908,25193
社区盾杯,1.0,0.199,0.228,0.574,0.0,1.0,0.0,3.395,0.183,25193
美职,43.0,0.463,0.249,0.288,0.372,0.326,0.302,1.82,0.403,25193
芬超,27.0,0.433,0.236,0.332,0.407,0.333,0.259,1.561,0.458,25193
英冠,115.0,0.416,0.276,0.308,0.487,0.217,0.296,2.864,0.239,25193
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25193
英联杯,17.0,0.449,0.241,0.31,0.588,0.176,0.235,1.332,0.514,25193
英超,324.0,0.43,0.241,0.329,0.42,0.225,0.355,1.055,0.59,25193
荷乙,60.0,0.46,0.232,0.308,0.583,0.083,0.333,7.803,0.02,25193
荷兰杯,7.0,0.473,0.177,0.351,0.286,0.143,0.571,1.534,0.464,25193
荷甲,40.0,0.481,0.228,0.291,0.45,0.275,0.275,0.498,0.78,25193
葡超,56.0,0.48,0.256,0.264,0.429,0.286,0.286,0.595,0.743,25193
西甲,242.0,0.445,0.253,0.302,0.459,0.264,0.277,0.73,0.694,25193
解放者杯,18.0,0.484,0.262,0.255,0.5,0.167,0.333,1.067,0.587,25193
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25193
金杯赛,20.0,0.525,0.21,0.265,0.45,0.35,0.2,2.42,0.298,25193
非洲杯,7.0,0.591,0.252,0.157,0.857,0.143,0.0,2.264,0.322,25193
J2联赛,4.0,0.46,0.266,0.274,0.25,0.25,0.5,1.133,0.568,25194
J联赛,11.0,0.354,0.284,0.362,0.455,0.091,0.455,2.023,0.364,25194
世亚预,31.0,0.467,0.252,0.281,0.516,0.258,0.226,0.5,0.779,25194
世俱杯,63.0,0.436,0.223,0.341,0.476,0.254,0.27,1.454,0.483,25194
世南美预,22.0,0.473,0.275,0.252,0.545,0.273,0.182,0.676,0.713,25194
世欧预,127.0,0.474,0.188,0.337,0.52,0.165,0.315,1.095,0.578,25194
亚冠,38.0,0.473,0.217,0.31,0.632,0.079,0.289,5.386,0.068,25194
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25194
天皇杯,2.0,0.427,0.267,0.306,0.0,1.0,0.0,5.482,0.065,25194
德乙,63.0,0.426,0.255,0.32,0.46,0.175,0.365,2.163,0.339,25194
德国杯,20.0,0.414,0.225,0.36,0.4,0.15,0.45,0.961,0.618,25194
德甲,273.0,0.448,0.237,0.315,0.381,0.238,0.381,6.47,0.039,25194
德超杯,1.0,0.187,0.202,0.612,0.0,0.0,1.0,0.635,0.728,25194
意大利杯,14.0,0.559,0.224,0.217,0.571,0.214,0.214,0.011,0.995,25194
意甲,230.0,0.408,0.268,0.324,0.413,0.287,0.3,0.72,0.698,25194
意超杯,2.0,0.434,0.291,0.276,1.0,0.0,0.0,2.612,0.271,25194
挪超,71.0,0.453,0.233,0.314,0.479,0.225,0.296,0.202,0.904,25194
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25194
欧冠,211.0,0.469,0.227,0.304,0.479,0.204,0.318,0.667,0.716,25194
欧协联,87.0,0.487,0.235,0.278,0.437,0.276,0.287,1.104,0.576,25194
欧国联,23.0,0.442,0.271,0.287,0.391,0.304,0.304,0.257,0.879,25194
欧洲超级杯,1.0,0.677,0.189,0.134,0.0,1.0,0.0,4.284,0.117,25194
欧联,170.0,0.457,0.243,0.299,0.512,0.182,0.306,3.714,0.156,25194
法乙,115.0,0.422,0.28,0.298,0.383,0.287,0.33,0.834,0.659,25194
法国杯,10.0,0.486,0.23,0.284,0.6,0.2,0.2,0.554,0.758,25194
法甲,120.0,0.444,0.242,0.314,0.458,0.208,0.333,0.753,0.686,25194
瑞典超,64.0,0.429,0.245,0.326,0.406,0.266,0.328,0.192,0.908,25194
社区盾杯,1.0,0.199,0.228,0.574,0.0,1.0,0.0,3.395,0.183,25194
美职,43.0,0.463,0.249,0.288,0.372,0.326,0.302,1.82,0.403,25194
芬超,27.0,0.433,0.236,0.332,0.407,0.333,0.259,1.561,0.458,25194
英冠,125.0,0.415,0.275,0.31,0.48,0.232,0.288,2.295,0.317,25194
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25194
英联杯,17.0,0.449,0.241,0.31,0.588,0.176,0.235,1.332,0.514,25194
英超,321.0,0.428,0.241,0.33,0.424,0.227,0.349,0.624,0.732,25194
荷乙,60.0,0.46,0.232,0.308,0.583,0.083,0.333,7.803,0.02,25194
荷兰杯,7.0,0.473,0.177,0.351,0.286,0.143,0.571,1.534,0.464,25194
荷甲,40.0,0.481,0.228,0.291,0.45,0.275,0.275,0.498,0.78,25194
葡超,56.0,0.48,0.256,0.264,0.429,0.286,0.286,0.595,0.743,25194
西甲,238.0,0.443,0.254,0.303,0.466,0.261,0.273,1.068,0.586,25194
解放者杯,18.0,0.484,0.262,0.255,0.5,0.167,0.333,1.067,0.587,25194
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25194
金杯赛,20.0,0.525,0.21,0.265,0.45,0.35,0.2,2.42,0.298,25194
非洲杯,10.0,0.566,0.263,0.172,0.7,0.3,0.0,2.088,0.352,25194
J2联赛,4.0,0.46,0.266,0.274,0.25,0.25,0.5,1.133,0.568,25195
J联赛,11.0,0.354,0.284,0.362,0.455,0.091,0.455,2.023,0.364,25195
世亚预,31.0,0.467,0.252,0.281,0.516,0.258,0.226,0.5,0.779,25195
世俱杯,63.0,0.436,0.223,0.341,0.476,0.254,0.27,1.454,0.483,25195
世南美预,22.0,0.473,0.275,0.252,0.545,0.273,0.182,0.676,0.713,25195
世欧预,127.0,0.474,0.188,0.337,0.52,0.165,0.315,1.095,0.578,25195
亚冠,38.0,0.473,0.217,0.31,0.632,0.079,0.289,5.386,0.068,25195
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25195
天皇杯,2.0,0.427,0.267,0.306,0.0,1.0,0.0,5.482,0.065,25195
德乙,63.0,0.426,0.255,0.32,0.46,0.175,0.365,2.163,0.339,25195
德国杯,20.0,0.414,0.225,0.36,0.4,0.15,0.45,0.961,0.618,25195
德甲,273.0,0.448,0.237,0.315,0.381,0.238,0.381,6.47,0.039,25195
德超杯,1.0,0.187,0.202,0.612,0.0,0.0,1.0,0.635,0.728,25195
意大利杯,11.0,0.506,0.242,0.252,0.455,0.273,0.273,0.118,0.943,25195
意甲,233.0,0.406,0.268,0.325,0.408,0.288,0.305,0.624,0.732,25195
意超杯,2.0,0.434,0.291,0.276,1.0,0.0,0.0,2.612,0.271,25195
挪超,71.0,0.453,0.233,0.314,0.479,0.225,0.296,0.202,0.904,25195
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25195
欧冠,211.0,0.469,0.227,0.304,0.479,0.204,0.318,0.667,0.716,25195
欧协联,87.0,0.487,0.235,0.278,0.437,0.276,0.287,1.104,0.576,25195
欧国联,23.0,0.442,0.271,0.287,0.391,0.304,0.304,0.257,0.879,25195
欧洲超级杯,1.0,0.677,0.189,0.134,0.0,1.0,0.0,4.284,0.117,25195
欧联,170.0,0.457,0.243,0.299,0.512,0.182,0.306,3.714,0.156,25195
法乙,114.0,0.422,0.28,0.299,0.377,0.289,0.333,1.027,0.598,25195
法国杯,10.0,0.486,0.23,0.284,0.6,0.2,0.2,0.554,0.758,25195
法甲,119.0,0.446,0.242,0.312,0.462,0.21,0.328,0.657,0.72,25195
瑞典超,64.0,0.429,0.245,0.326,0.406,0.266,0.328,0.192,0.908,25195
社区盾杯,1.0,0.199,0.228,0.574,0.0,1.0,0.0,3.395,0.183,25195
美职,43.0,0.463,0.249,0.288,0.372,0.326,0.302,1.82,0.403,25195
芬超,27.0,0.433,0.236,0.332,0.407,0.333,0.259,1.561,0.458,25195
英冠,125.0,0.415,0.275,0.31,0.48,0.232,0.288,2.295,0.317,25195
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25195
英联杯,17.0,0.449,0.241,0.31,0.588,0.176,0.235,1.332,0.514,25195
英超,326.0,0.428,0.242,0.331,0.423,0.224,0.353,0.919,0.632,25195
荷乙,60.0,0.46,0.232,0.308,0.583,0.083,0.333,7.803,0.02,25195
荷兰杯,5.0,0.507,0.184,0.309,0.2,0.2,0.6,2.313,0.315,25195
荷甲,40.0,0.481,0.228,0.291,0.45,0.275,0.275,0.498,0.78,25195
葡超,54.0,0.479,0.258,0.263,0.426,0.259,0.315,0.878,0.645,25195
西甲,236.0,0.443,0.254,0.304,0.47,0.254,0.275,1.043,0.594,25195
解放者杯,18.0,0.484,0.262,0.255,0.5,0.167,0.333,1.067,0.587,25195
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25195
金杯赛,20.0,0.525,0.21,0.265,0.45,0.35,0.2,2.42,0.298,25195
非洲杯,13.0,0.537,0.277,0.186,0.692,0.308,0.0,3.053,0.217,25195
J2联赛,4.0,0.46,0.266,0.274,0.25,0.25,0.5,1.133,0.568,25196
J联赛,11.0,0.354,0.284,0.362,0.455,0.091,0.455,2.023,0.364,25196
世亚预,31.0,0.467,0.252,0.281,0.516,0.258,0.226,0.5,0.779,25196
世俱杯,63.0,0.436,0.223,0.341,0.476,0.254,0.27,1.454,0.483,25196
世南美预,22.0,0.473,0.275,0.252,0.545,0.273,0.182,0.676,0.713,25196
世欧预,127.0,0.474,0.188,0.337,0.52,0.165,0.315,1.095,0.578,25196
亚冠,38.0,0.473,0.217,0.31,0.632,0.079,0.289,5.386,0.068,25196
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25196
天皇杯,2.0,0.427,0.267,0.306,0.0,1.0,0.0,5.482,0.065,25196
德乙,63.0,0.426,0.255,0.32,0.46,0.175,0.365,2.163,0.339,25196
德国杯,20.0,0.414,0.225,0.36,0.4,0.15,0.45,0.961,0.618,25196
德甲,273.0,0.448,0.237,0.315,0.381,0.238,0.381,6.47,0.039,25196
德超杯,1.0,0.187,0.202,0.612,0.0,0.0,1.0,0.635,0.728,25196
意大利杯,10.0,0.486,0.248,0.266,0.4,0.3,0.3,0.307,0.858,25196
意甲,237.0,0.406,0.268,0.326,0.405,0.287,0.308,0.545,0.762,25196
意超杯,2.0,0.434,0.291,0.276,1.0,0.0,0.0,2.612,0.271,25196
挪超,71.0,0.453,0.233,0.314,0.479,0.225,0.296,0.202,0.904,25196
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25196
欧冠,211.0,0.469,0.227,0.304,0.479,0.204,0.318,0.667,0.716,25196
欧协联,74.0,0.481,0.237,0.281,0.419,0.243,0.338,1.445,0.486,25196
欧国联,23.0,0.442,0.271,0.287,0.391,0.304,0.304,0.257,0.879,25196
欧洲超级杯,1.0,0.677,0.189,0.134,0.0,1.0,0.0,4.284,0.117,25196
欧联,170.0,0.457,0.243,0.299,0.512,0.182,0.306,3.714,0.156,25196
法乙,114.0,0.422,0.28,0.299,0.377,0.289,0.333,1.027,0.598,25196
法国杯,10.0,0.486,0.23,0.284,0.6,0.2,0.2,0.554,0.758,25196
法甲,119.0,0.446,0.242,0.312,0.462,0.21,0.328,0.657,0.72,25196
瑞典超,64.0,0.429,0.245,0.326,0.406,0.266,0.328,0.192,0.908,25196
社区盾杯,1.0,0.199,0.228,0.574,0.0,1.0,0.0,3.395,0.183,25196
美职,43.0,0.463,0.249,0.288,0.372,0.326,0.302,1.82,0.403,25196
芬超,27.0,0.433,0.236,0.332,0.407,0.333,0.259,1.561,0.458,25196
英冠,125.0,0.415,0.275,0.31,0.48,0.232,0.288,2.295,0.317,25196
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25196
英联杯,17.0,0.449,0.241,0.31,0.588,0.176,0.235,1.332,0.514,25196
英超,328.0,0.428,0.242,0.331,0.421,0.226,0.354,0.922,0.631,25196
荷乙,60.0,0.46,0.232,0.308,0.583,0.083,0.333,7.803,0.02,25196
荷兰杯,5.0,0.507,0.184,0.309,0.2,0.2,0.6,2.313,0.315,25196
荷甲,40.0,0.481,0.228,0.291,0.45,0.275,0.275,0.498,0.78,25196
葡超,58.0,0.475,0.257,0.268,0.414,0.293,0.293,0.874,0.646,25196
西甲,236.0,0.443,0.254,0.304,0.47,0.254,0.275,1.043,0.594,25196
解放者杯,18.0,0.484,0.262,0.255,0.5,0.167,0.333,1.067,0.587,25196
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25196
金杯赛,20.0,0.525,0.21,0.265,0.45,0.35,0.2,2.42,0.298,25196
非洲杯,17.0,0.523,0.285,0.192,0.588,0.294,0.118,0.639,0.726,25196
J2联赛,4.0,0.46,0.266,0.274,0.25,0.25,0.5,1.133,0.568,26001
J联赛,11.0,0.354,0.284,0.362,0.455,0.091,0.455,2.023,0.364,26001
世亚预,31.0,0.467,0.252,0.281,0.516,0.258,0.226,0.5,0.779,26001
世俱杯,63.0,0.436,0.223,0.341,0.476,0.254,0.27,1.454,0.483,26001
世南美预,22.0,0.473,0.275,0.252,0.545,0.273,0.182,0.676,0.713,26001
世欧预,127.0,0.474,0.188,0.337,0.52,0.165,0.315,1.095,0.578,26001
亚冠,38.0,0.473,0.217,0.31,0.632,0.079,0.289,5.386,0.068,26001
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,26001
天皇杯,2.0,0.427,0.267,0.306,0.0,1.0,0.0,5.482,0.065,26001
德乙,61.0,0.425,0.254,0.32,0.475,0.18,0.344,1.788,0.409,26001
德国杯,20.0,0.414,0.225,0.36,0.4,0.15,0.45,0.961,0.618,26001
德甲,272.0,0.446,0.237,0.316,0.379,0.239,0.382,6.592,0.037,26001
德超杯,1.0,0.187,0.202,0.612,0.0,0.0,1.0,0.635,0.728,26001
意大利杯,10.0,0.486,0.248,0.266,0.4,0.3,0.3,0.307,0.858,26001
意甲,237.0,0.408,0.268,0.324,0.409,0.287,0.304,0.608,0.738,26001
意超杯,2.0,0.434,0.291,0.276,1.0,0.0,0.0,2.612,0.271,26001
挪超,71.0,0.453,0.233,0.314,0.479,0.225,0.296,0.202,0.904,26001
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,26001
欧冠,211.0,0.469,0.227,0.304,0.479,0.204,0.318,0.667,0.716,26001
欧协联,74.0,0.481,0.237,0.281,0.419,0.243,0.338,1.445,0.486,26001
