赛事,样本量,理论概率_胜,理论概率_平,理论概率_负,真实频率_胜,真实频率_平,真实频率_负,卡方统计量,P值,当前期数id
足总杯,24.0,0.479,0.207,0.314,0.375,0.292,0.333,1.401,0.496,25003
非洲杯,18.0,0.293,0.266,0.442,0.333,0.333,0.333,0.888,0.642,25003
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25004
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25004
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25004
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25004
亚冠,35.0,0.498,0.231,0.272,0.6,0.286,0.114,4.389,0.111,25004
亚洲杯,26.0,0.429,0.25,0.32,0.385,0.385,0.231,2.645,0.267,25004
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25004
国王杯,6.0,0.468,0.267,0.266,0.5,0.5,0.0,2.831,0.243,25004
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25004
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25004
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25004
德乙,59.0,0.437,0.251,0.312,0.475,0.186,0.339,1.303,0.521,25004
德国杯,19.0,0.451,0.213,0.337,0.579,0.105,0.316,1.745,0.418,25004
德甲,240.0,0.452,0.226,0.322,0.408,0.258,0.333,2.24,0.326,25004
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25004
意大利杯,18.0,0.579,0.237,0.184,0.778,0.056,0.167,3.749,0.153,25004
意甲,228.0,0.419,0.261,0.32,0.373,0.32,0.307,4.293,0.117,25004
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25004
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25004
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25004
欧冠,151.0,0.469,0.228,0.303,0.49,0.199,0.311,0.731,0.694,25004
欧协联,55.0,0.473,0.244,0.282,0.436,0.309,0.255,1.256,0.534,25004
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25004
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25004
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25004
欧联,146.0,0.469,0.24,0.29,0.486,0.253,0.26,0.652,0.722,25004
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25004
法乙,87.0,0.412,0.282,0.306,0.483,0.241,0.276,1.824,0.402,25004
法国杯,7.0,0.466,0.204,0.33,0.571,0.143,0.286,0.336,0.845,25004
法甲,123.0,0.44,0.247,0.313,0.407,0.268,0.325,0.605,0.739,25004
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25004
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25004
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25004
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25004
英冠,130.0,0.425,0.261,0.314,0.431,0.231,0.338,0.708,0.702,25004
英甲,10.0,0.379,0.268,0.354,0.6,0.4,0.0,5.481,0.065,25004
英超,313.0,0.452,0.227,0.322,0.415,0.278,0.307,4.782,0.092,25004
荷乙,61.0,0.452,0.24,0.308,0.377,0.295,0.328,1.624,0.444,25004
荷兰杯,4.0,0.451,0.172,0.378,0.5,0.25,0.25,0.337,0.845,25004
荷甲,37.0,0.387,0.232,0.381,0.378,0.27,0.351,0.328,0.849,25004
葡萄牙杯,5.0,0.415,0.257,0.327,0.4,0.4,0.2,0.646,0.724,25004
葡超,76.0,0.423,0.24,0.337,0.355,0.289,0.355,1.67,0.434,25004
西甲,223.0,0.443,0.258,0.299,0.444,0.247,0.309,0.204,0.903,25004
解放者杯,21.0,0.52,0.254,0.226,0.429,0.286,0.286,0.748,0.688,25004
足总杯,24.0,0.479,0.207,0.314,0.375,0.292,0.333,1.401,0.496,25004
非洲杯,18.0,0.293,0.266,0.442,0.333,0.333,0.333,0.888,0.642,25004
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25005
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25005
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25005
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25005
亚冠,35.0,0.498,0.231,0.272,0.6,0.286,0.114,4.389,0.111,25005
亚洲杯,24.0,0.443,0.252,0.304,0.417,0.375,0.208,2.205,0.332,25005
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25005
国王杯,6.0,0.468,0.267,0.266,0.5,0.5,0.0,2.831,0.243,25005
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25005
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25005
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25005
德乙,59.0,0.437,0.251,0.312,0.475,0.186,0.339,1.303,0.521,25005
德国杯,19.0,0.451,0.213,0.337,0.579,0.105,0.316,1.745,0.418,25005
德甲,239.0,0.45,0.227,0.324,0.41,0.259,0.331,1.994,0.369,25005
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25005
意大利杯,18.0,0.579,0.237,0.184,0.778,0.056,0.167,3.749,0.153,25005
意甲,225.0,0.421,0.261,0.319,0.369,0.329,0.302,5.628,0.06,25005
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25005
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25005
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25005
欧冠,151.0,0.469,0.228,0.303,0.49,0.199,0.311,0.731,0.694,25005
欧协联,55.0,0.473,0.244,0.282,0.436,0.309,0.255,1.256,0.534,25005
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25005
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25005
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25005
欧联,146.0,0.469,0.24,0.29,0.486,0.253,0.26,0.652,0.722,25005
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25005
法乙,91.0,0.411,0.282,0.307,0.473,0.253,0.275,1.417,0.492,25005
法国杯,7.0,0.466,0.204,0.33,0.571,0.143,0.286,0.336,0.845,25005
法甲,125.0,0.437,0.247,0.316,0.4,0.28,0.32,0.94,0.625,25005
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25005
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25005
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25005
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25005
英冠,130.0,0.425,0.261,0.314,0.431,0.231,0.338,0.708,0.702,25005
英甲,10.0,0.379,0.268,0.354,0.6,0.4,0.0,5.481,0.065,25005
英超,311.0,0.453,0.226,0.321,0.418,0.277,0.305,4.51,0.105,25005
荷乙,63.0,0.452,0.239,0.308,0.381,0.286,0.333,1.4,0.496,25005
荷兰杯,4.0,0.451,0.172,0.378,0.5,0.25,0.25,0.337,0.845,25005
荷甲,38.0,0.386,0.233,0.381,0.368,0.263,0.368,0.193,0.908,25005
葡萄牙杯,5.0,0.415,0.257,0.327,0.4,0.4,0.2,0.646,0.724,25005
葡超,76.0,0.423,0.24,0.337,0.355,0.289,0.355,1.67,0.434,25005
西甲,220.0,0.441,0.259,0.3,0.441,0.25,0.309,0.136,0.934,25005
解放者杯,21.0,0.52,0.254,0.226,0.429,0.286,0.286,0.748,0.688,25005
足总杯,25.0,0.482,0.208,0.31,0.4,0.28,0.32,0.993,0.609,25005
非洲杯,18.0,0.293,0.266,0.442,0.333,0.333,0.333,0.888,0.642,25005
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25006
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25006
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25006
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25006
亚冠,35.0,0.498,0.231,0.272,0.6,0.286,0.114,4.389,0.111,25006
亚洲杯,18.0,0.446,0.244,0.31,0.333,0.444,0.222,3.917,0.141,25006
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25006
国王杯,6.0,0.468,0.267,0.266,0.5,0.5,0.0,2.831,0.243,25006
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25006
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25006
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25006
德乙,59.0,0.437,0.251,0.312,0.475,0.186,0.339,1.303,0.521,25006
德国杯,19.0,0.451,0.213,0.337,0.579,0.105,0.316,1.745,0.418,25006
德甲,243.0,0.447,0.227,0.326,0.407,0.255,0.337,1.778,0.411,25006
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25006
意大利杯,18.0,0.579,0.237,0.184,0.778,0.056,0.167,3.749,0.153,25006
意甲,228.0,0.42,0.261,0.319,0.364,0.338,0.298,7.224,0.027,25006
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25006
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25006
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25006
欧冠,151.0,0.469,0.228,0.303,0.49,0.199,0.311,0.731,0.694,25006
欧协联,55.0,0.473,0.244,0.282,0.436,0.309,0.255,1.256,0.534,25006
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25006
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25006
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25006
欧联,146.0,0.469,0.24,0.29,0.486,0.253,0.26,0.652,0.722,25006
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25006
法乙,91.0,0.411,0.282,0.307,0.473,0.253,0.275,1.417,0.492,25006
法国杯,7.0,0.466,0.204,0.33,0.571,0.143,0.286,0.336,0.845,25006
法甲,127.0,0.435,0.248,0.318,0.394,0.276,0.331,0.96,0.619,25006
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25006
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25006
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25006
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25006
英冠,130.0,0.425,0.261,0.314,0.431,0.231,0.338,0.708,0.702,25006
英甲,10.0,0.379,0.268,0.354,0.6,0.4,0.0,5.481,0.065,25006
英超,311.0,0.453,0.226,0.321,0.418,0.277,0.305,4.51,0.105,25006
荷乙,63.0,0.452,0.239,0.308,0.381,0.286,0.333,1.4,0.496,25006
荷兰杯,4.0,0.451,0.172,0.378,0.5,0.25,0.25,0.337,0.845,25006
荷甲,38.0,0.386,0.233,0.381,0.368,0.263,0.368,0.193,0.908,25006
葡萄牙杯,5.0,0.415,0.257,0.327,0.4,0.4,0.2,0.646,0.724,25006
葡超,76.0,0.423,0.24,0.337,0.355,0.289,0.355,1.67,0.434,25006
西甲,222.0,0.44,0.259,0.301,0.441,0.252,0.306,0.069,0.966,25006
解放者杯,21.0,0.52,0.254,0.226,0.429,0.286,0.286,0.748,0.688,25006
足总杯,28.0,0.481,0.208,0.312,0.429,0.25,0.321,0.409,0.815,25006
非洲杯,10.0,0.352,0.287,0.361,0.4,0.4,0.2,1.221,0.543,25006
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25007
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25007
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25007
